name,description,price,originalPrice,category,subcategory,brand,model,partNumber,stock,rating,featured,badge,leadTime,keywords,image,specs
GT8-D PID/On-Off Temperature Controller,"GT8 series dual display temperature controller with PID mode for both heating and cooling. 72x72 mm size, RTD/current/voltage/thermocouple input. Avoids temperature fluctuation with intelligent PID cooling control.",1728,,Temperature Controllers,PID Controllers,Cautoni-Swastik,GT8-D,GT8-D,50,4.5,false,,Immediate,pid; temperature controller; on-off; dual display; swastik; gt8,/techedgemarket_ecommerce/products/swastik/gt8-d-pid-on-off-temp-1.webp,"Control Type: PID/On-Off | Size: 72x72 mm | Input Type: RTD, Current (mA), Voltage (mV), Thermocouple | Control Output: Relay/SSR | Accuracy: +/- 0.5% FS | Resolution: 0.1 C or 1 C | Display: 4 Digit/7 Segment | Voltage: 180-240 V | Frequency: 50/60 Hz"
GR-818-A PID Temperature Controller with Current Measure,"Advanced PID controller with running current measurement up to 100A. 4-digit dual display, RS-485 Modbus communication. High/low/high-low alarm on heater current. Knob setting, 300ms sampling.",5128,,Temperature Controllers,PID Controllers,Cautoni-Swastik,GR-818-A,GR818-AT-122,50,4.5,false,,Immediate,pid; temperature controller; current measure; rs485; modbus; swastik,/techedgemarket_ecommerce/products/swastik/gr818-a-pid-current-1.webp,"Display: 4 Digit Dual display | Sensor: T/C: K,E,J,S,B,N,R,T / RTD: PT-100-3w | Output: 2/3 Relay output | Current Measure Range: Up to 100 amp AC | Communication: RS-485 / Modbus protocol | Sampling Type: 300 ms | Control Action: PID / Two-way PID / On-Off | Keyboard: Knob Setting | Range: -50.0 C to 199.9 C / 0-1600 C | Size: 96x96 / 72x72 / 48x48 / 48x96 mm | Supply: 85-265 VAC"
GR818F Series Thyristor Power Control with PID,"Single/three phase thyristor output power controller with PID. Phase angle output, star/delta connection. Soft start function, RS-485 Modbus. 10 programs with 12 steps for profile control.",6671,,Temperature Controllers,Thyristor Controllers,Cautoni-Swastik,GR818F,GR818F-Series,50,4.5,true,Premium,Immediate,thyristor; power controller; pid; three phase; profile control; swastik,/techedgemarket_ecommerce/products/swastik/gr818f-thyristor-pid-1.webp,"Control Type: PID | Size: 96x96 mm | Current: 1000A | Pole Type: Single phase / 3 Phase | Voltage: 85-265 VAC | Display: 4 Digit/7 Segment | Temperature Range: -200 to 2300 C | Connection: STAR with/without Neutral / DELTA | Output: Phase Angle, Single/Three phase thyristor | Communication: RS-485 Modbus | Profile Control: 10 Programs with 12 STEP"
AK6-AKL-800 ARC Extinction PID Controller,"ARC technology PID controller designed for food machines, packaging machines, and heat press machines. High performance with direct load up to 2000W. 72x72 mm, RTD/thermocouple input.",1996,,Temperature Controllers,PID Controllers,Cautoni-Swastik,AK6-AKL-800,AK6-AKL-800,50,4.5,false,,Immediate,pid; arc extinction; temperature controller; packaging; swastik,/techedgemarket_ecommerce/products/swastik/ak6-akl-800-arc-1.webp,"Control Type: PID/On-Off | Model: AK6-AKL-800 ARC Extinction | Size: 72x72 mm | Input Type: RTD, Thermocouple | Control Output: Relay | Accuracy: +/- 0.5% FS | Resolution: 1 C | Display: 4 Digit/7 Segment | Voltage: 230 VAC | Direct Load: Up to 2000W"
AK6-A Smart PID/On-Off Temperature Controller,Smart range temperature controller with 6-digit dual display (white/red). Relay & SSR output. -200 to 2300C range. CE certified. 48x48 mm compact size.,1510,,Temperature Controllers,PID Controllers,Cautoni-Swastik,AK6-A,AK6-AKL-200,50,4.5,false,,Immediate,pid; smart; temperature controller; dual display; ce; swastik,/techedgemarket_ecommerce/products/swastik/ak6-a-smart-pid-1.webp,"Control Type: PID/On-Off | Size: 48x48 mm | Input Type: RTD, Thermocouple | Control Output: Relay/SSR | Certifications: CE | Accuracy: +/- 0.5% FS | Resolution: 1 C / 0.1 C | Display: 6 Digit Dual Display | Voltage: 90-270 VAC/DC | Temperature Range: -200 to 2300 C | Humidity: 35-85%"
GT8-A PID Temperature Controller,"GT8 series PID temperature controller with 4-digit dual display (upper red, lower green). Two-way PID action for heating and cooling. SMPS supply, CE/ISO certified. 48x48 mm.",1728,,Temperature Controllers,PID Controllers,Cautoni-Swastik,GT8-A,GT8-Series,50,4.5,false,,Immediate,pid; temperature controller; dual display; two way; swastik; gt8,/techedgemarket_ecommerce/products/swastik/gt8-a-pid-temp-1.webp,"Control Type: On/Off | Display Size: 48x48 mm | Output: Relay | Sensor Input: RTD | Resolution: 0.1 C or 1 C | Voltage: 220-240 V | Accuracy: +/- 0.5% FS | Display: 4 Digit Dual (Upper-4D Red, Lower-4D Green) | Action: Two way PID controller | Certifications: CE, ISO | Power Supply: SMPS"
AK3-A PID/On-Off Temperature Controller,"Economic range single display PID controller. J/K/E/RTD input, relay or SSR output. PID or On-Off selectable. 48x48 mm, available in all standard sizes. 180-240V AC supply.",1333,,Temperature Controllers,PID Controllers,Cautoni-Swastik,AK3-A,AK3-Series,50,4.5,false,,Immediate,pid; economic; temperature controller; single display; swastik,/techedgemarket_ecommerce/products/swastik/ak3-a-pid-onoff-1.webp,"Control Type: PID/On-Off | Size: 48x48 mm | Input Type: Thermocouple, RTD | Control Output: Relay/SSR | Certifications: CE | Resolution: 1 C | Voltage: 230 VAC | Accuracy: 0.5% of Full Scale | Temperature Range: -200 to 2300 C | Display: 4 Digit Single Display | Action: PID or On-Off selectable"
AK6-800 ARC Extinction Digital PID Controller,"ARC technology PID controller specially designed for packaging industry. Dual display with 8A relay output. Direct heater load up to 2000W. K,E,J,N/PT-100 sensor input.",1996,,Temperature Controllers,PID Controllers,Cautoni-Swastik,AK6-800,AK6-DKL-800,50,4.5,false,,Immediate,pid; arc; packaging; temperature controller; dual display; swastik,/techedgemarket_ecommerce/products/swastik/ak6-800-digital-pid-1.webp,"Model: AK6-800 | Size: 48x48 mm | Input Type: Thermocouple, RTD | Control Output: Relay (8A) | Certifications: ISO | Control Type: PID | Accuracy: +/- 0.5% FS | Resolution: 1 C | Voltage: 230 VAC | Sensor Input: K,E,J,N / PT-100 | Display: Dual Display | Direct Load: Up to 2000W"
GT8-E PID/On-Off Temperature Controller,GT8 series 96x96 mm temperature controller with 3 relay outputs. RS485 communication. PID control for both heating and cooling. Thermocouple/current/voltage/RTD input.,1728,,Temperature Controllers,PID Controllers,Cautoni-Swastik,GT8-E,GT8-E,50,4.5,false,,Immediate,pid; temperature controller; rs485; 3 output; swastik; gt8,/techedgemarket_ecommerce/products/swastik/gt8-e-pid-onoff-1.webp,"Control Type: On-Off | Supply Voltage: 100-240 VAC | Display: 4 Digit/7 Segment | Size: 96x96 mm | Resolution: 1 C / 0.1 C | Accuracy: +/- 0.5% FS | Control Outputs: 3 Outputs | Communication: RS485 | Mounting: Panel Mount | Input Type: Thermocouple, Current (mA), Voltage (mV), RTD"
GT8-B PID/On-Off Temperature Controller,GT8 series 48x96 mm PID temperature controller. Current/voltage/RTD/thermocouple input. Relay/SSR output. Intelligent PID cooling control to avoid temperature fluctuation.,1728,,Temperature Controllers,PID Controllers,Cautoni-Swastik,GT8-B,GT8-B,50,4.5,false,,Immediate,pid; temperature controller; 48x96; swastik; gt8,/techedgemarket_ecommerce/products/swastik/gt8-b-pid-onoff-1.webp,"Control Type: PID/On-Off | Size: 48x96 mm | Input Type: Current (mA), Voltage (mV), RTD, Thermocouple | Control Output: Relay/SSR | Accuracy: +/- 0.5% FS | Resolution: 1 C / 0.1 C | Display: 4 Digit/7 Segment | Voltage: 180-240 V | Frequency: 50/60 Hz"
Micro PLC with Display MPC-M8-R8-CS,"Micro PLC with 16/24 DIO, 32-bit processor, dual-line LCD display. Ladder programming via RS-485. 512K flash memory, <0.01us instruction time. DIN rail mount, 24VDC. 1.2KVA opto isolation.",6930,,HMI & PLC,Programmable Logic Controllers,Cautoni-Swastik,MPC-M8-R8-CS,MPC-M8-R8-CS,50,4.5,false,,1-2 days,micro plc; lcd display; ladder; din rail; cautoni; swastik,https://5.imimg.com/data5/SELLER/Default/2023/4/299516314/QL/WY/NM/2349477/micro-plc-with-display-500x500.jpg,"PLC Power: 24 VDC | Communication Port: RS-485 | Output Type: Digital | Programming: Ladder Programming | I/O Points: 16 DIO, 24 DIO | Mounting: DIN Rail | Display: 16x2 LCD Display | Program Memory: 512K Flash Memory | Instruction Time: <0.01 Micro Second | Isolation: 1.2 KVA Opto Isolation | Processor: 32 Bit Micro Processor | Digital Input: 8/12 Point (NPN/PNP) | Digital Output: 8/12 Point (Transistor/Relay) | Analog Input: 2 Point (Temperature/Analog) | Analog Output: 4/8 Point (4-20 mA / 0-10 VDC)"
Process Control Instrument SPC-961,"Process control instrument with 0-10VDC/0-20mA/4-20mA input. 2 relay outputs, 24V DC transmitter supply, 4-20mA re-transmission. IP68 rated, 0.9% FS accuracy.",2350,,Process Indicators,Process Controllers,Swastik,SPC-961,SPC-961,50,4.5,false,,Immediate,process control; instrument; relay; ip68; swastik,https://5.imimg.com/data5/SELLER/Default/2023/4/299591104/AP/OX/LR/2349477/process-control-system-500x500.JPG,"Voltage: 12V DC, 24V DC | IP Rating: IP68 | Input: 0-10VDC / 0-20mA / 4-20mA | Output: Relay / 2 Relay | Input Selectable: Yes | Transmitter Supply: 24V DC | Re-transmission: 4-20 mA | Accuracy: 0.9% FS | Working Environment: -10 to 55 C | Temperature Range: -50 to 150 C"
Profile Temperature Controller GR818P-AT-120,"32-step profile temperature controller with two-way PID. 4-digit dual display (upper red, lower green). RS-485 Modbus, 2-3 relay/analog output. -200 to 2300C range.",5865,,Temperature Controllers,Profile Controllers,Cautoni-Swastik,GR818P-AT-120,GR818P-AT-120,50,4.5,false,,Immediate,profile controller; pid; 32 step; temperature; swastik; cautoni,https://5.imimg.com/data5/AM/JT/MY-2349477/profiler-controller-500x500.jpg,"Model: GR858P | Size: 48x48 mm | Control Type: PID | Input Type: Thermocouple, RTD | Control Output: 2 to 3 Relay / Analog | Accuracy: 0.3% FS | Display: 4 Digit Dual (Upper: 4D Red, Lower: 4D Green) | Voltage: 85-265 VAC | Temperature Range: -200 to 2300 C | Port: RS-485 / Modbus Protocol | Profile Steps: 32 Step | Alarm: x2"
SCR Power Regulator TR-SCR,"Three phase SCR power regulator with phase angle control. 4-20mA input, dual display for input percentage and power limit. Soft start, current limit, manual percentage output. Natural/forced cooling.",33554,,Power Controllers,SCR Controllers,Cautoni-Swastik,TR-SCR,TR-SCR,50,4.5,true,Premium,2 days,scr; power regulator; three phase; phase angle; swastik; cautoni,https://5.imimg.com/data5/SELLER/Default/2026/5/607509392/SW/NM/OP/2349477/scr-power-regulator-500x500.png,Load Voltage: 415 V AC | Phase: Three Phase | Control Method: Phase Angle | Input Signal: 4-20 mA | Digit Display: Dual | Type: Automatic | Max Operating Temperature: <60 C | Min Operating Temperature: 0-55 C | Smooth Control: Yes | Current Control: Yes | Cooling: Natural & Forced Cooling as per load capacity
Thyristor Trigger Modules TRK-1,"Three phase thyristor trigger module with 4-digit single display. Analog input (0-5V, 0-10V, 0-20mA, 4-20mA). No external sync line required. Auto recognizes single/two/three phase output.",5652,,Power Controllers,Thyristor Modules,Cautoni-Swastik,TRK-1,TRK-1,50,4.5,false,,Immediate,thyristor; trigger module; three phase; swastik; cautoni,https://5.imimg.com/data5/SELLER/Default/2024/1/373418175/NG/CE/PH/2349477/thyristor-trigger-modules-500x500.png,"Part Number: TRK | Package/Case: Module | Structure: Three Phase - SCR/Diode | Display: 4 Digit Single Display | Size: 72x87 mm | Input: 0-5V, 1-5V, 0-10V DC, 0-10mA, 0-20mA, 4-20mA | Supply: 180V AC to 240V AC | Ambient Temperature: 0 C to 50 C | Trigger Mode: Strong trigger less than 1000A SCR"
Digital Temperature Controller TC-4821-P,"Economic range TC series double display temperature controller with PID mode. TC/RTD input, relay/SSR output. For ovens, lab equipment, and scientific industry. CE certified.",1303,,Temperature Controllers,PID Controllers,Swastik,TC-4821-P,TC-4821-P,50,4.5,false,,Immediate,temperature controller; pid; dual display; swastik; ce certified,https://5.imimg.com/data5/SELLER/Default/2026/5/607515788/UR/SV/WD/2349477/digital-temperature-controller-500x500.png,"Output Type: Relay + SSR | Input Type: RTD, Thermocouple | Control Type: PID/On-Off | Supply Voltage: 230 VAC | Display Type: Dual Display | Certifications: CE certified | Size: 48x48 mm | Voltage: 230 V AC | Frequency: 50/60 Hz | Usage: Oven, Lab Equipment, Scientific Industry"
PID Temperature Controller AK3-D,"Cautoni Swastik AK3-D economic range PID controller (single display). PID On/Off control, flush mounting, 72x72 mm. RTD/thermocouple input, relay output.",1333,,Temperature Controllers,PID Controllers,Cautoni-Swastik,AK3-D,AK3-D,50,4.5,false,,Immediate,pid; temperature controller; economic; single display; swastik; cautoni,https://5.imimg.com/data5/SELLER/Default/2024/1/373425885/WO/CI/VP/2349477/pid-temperature-controller-500x500.jpg,"Control Type: PID On/Off | Mounting Type: Flush Mounting | Display Size: 72x72 mm | Output type: Relay | Sensor Input: RTD, Thermocouple | Resolution: 1 Degree C | Voltage: 220-240 V | Accuracy: +/- 0.5% FS | Frequency: 50/60 Hz"
PID/On-Off Temperature Controller AK6-B,"Cautoni-Swastik AK6 series smart temperature controller, dual display in white or red colour. Relay & SSR output, 48x96 mm. 90-270VAC/DC supply.",1510,,Temperature Controllers,PID Controllers,Cautoni-Swastik,AK6-B,AK6-B,50,4.5,false,,Immediate,pid; temperature controller; smart; dual display; swastik; cautoni,https://5.imimg.com/data5/SELLER/Default/2026/5/609609001/IE/KR/GN/2349477/pid-on-off-temperature-controller-500x500.png,"Control Type: PID/On-Off | Brand: Cautoni-Swastik | Model No.: AK6-B | Size: 48x96 mm | Input Type: RTD, Thermocouple | Control output Type: Relay/SSR | Accuracy: +/- 0.5% FS | Resolution: 0.1 Degree C or 1 Degree C | Display Type: 4 Digit/7 Segment | Voltage: 90-270 VAC/DC | Frequency: 50/60 Hz"
Digital Temperature Controller Knob Setting STC-9611,"Swastik STC-9611 knob setting controller. On/Off control, 96x96 mm display. Thermocouple/RTD input, relay output. 220-240V supply.",1479,,Temperature Controllers,On-Off Controllers,Swastik,STC-9611,STC-9611,50,4.5,false,,Immediate,temperature controller; knob setting; on-off; swastik; 96x96,https://5.imimg.com/data5/SELLER/Default/2021/10/UT/OP/VZ/2349477/blind-digital-temperature-controller-500x500.jpeg,"Input Type: J Type, RTD, K Type | Size: 96x96 mm | Control Type: On/Off | Display Size: 96x96 mm | Output type: Relay | Sensor Input: Thermocouple, RTD | Voltage: 220-240 V | Accuracy: +/- 1% of FS | Frequency: 50/60 Hz | Color: White"
Digital Temperature Controller Push to Set STC-961,"Push to set temperature controller with PID/On-Off control. 4-digit single display, -50 to 200C range. Non-interrupted functionality, accuracy, enhanced service life.",1230,,Temperature Controllers,PID Controllers,Swastik,STC-961,STC-961,50,4.5,false,,Immediate,temperature controller; push to set; pid; swastik; 48x48,https://5.imimg.com/data5/SELLER/Default/2023/4/300357382/ID/KH/MY/2349477/push-to-set-temperature-controller-500x500.JPG,"Control Type: PID/On-Off | Model No.: STC-961 | Size: 48x48 mm | Input Type: RTD, Thermocouple | Control output Type: Relay | Display Size: 4 Digit single display | Temperature Range: -50 to 200 Degree C | Voltage: 230 VAC | Resolution: 1 C / 0.1 C | Display Type: 4 Digit/7 Segment | Frequency: 50/60 Hz | Material: Metal | Color: Ivory | Accuracy: 0.2%F.S; 0.4%F.S | Response Time: Less than 0.6s | Power consumption: Less than 5 W"
Digital Temperature Controller DTC-961,"Swastik DTC-961 digital temperature controller. On/Off control, relay output. Thermocouple/RTD input. Operational fluency, consistent performance, high efficiency.",1193,,Temperature Controllers,On-Off Controllers,Swastik,DTC-961,DTC-961,50,4.5,false,,Immediate,temperature controller; on-off; digital; swastik; abs plastic,https://5.imimg.com/data5/SELLER/Default/2023/4/298121174/HM/RM/TX/2349477/digital-temperature-controller-500x500.JPG,"Control Type: On/Off | Output type: Relay | Sensor Input: Thermocouple, RTD | Voltage: 220-240 V | Accuracy: +/- 0.5% FS | Frequency: 50/60 Hz | Material: ABS Plastic Body"
PID Temperature Controller GT8,"Universal temperature controller with PID/On-Off control. 4+4 digit display, 48x48 mm flush mounting. T/C: K,E,J,S,B,N,R,T and RTD: PT-100/3wire input. 0.5% FS accuracy.",1766,,Temperature Controllers,PID Controllers,Cautoni-Swastik,GT8,GT8,50,4.5,false,,2-3 days,pid; temperature controller; universal; swastik; cautoni; 48x48,https://5.imimg.com/data5/SELLER/Default/2024/8/441913732/KU/AB/HV/2349477/pid-temperature-controller-manufacturer-in-india-500x500.jpg,"Control Type: PID On/Off | Application Area: For Oven/Furnace | No of Digits: 4+4 | Mounting Type: Flush Mounting | Display Size: 48x48 mm | Output Type: Analog | Sensor Input: RTD, Thermocouple | Voltage: 220-240 V | Weight: 300 gms | Dimension: 48x48x76 | Accuracy: 0.5% of FS | Control Action: PID / TWO WAY PID / ON-OFF"
Temperature Scanner 8 Channel SCN-1908,"8-channel temperature scanner with dual seven segment red display. J/K/RTD sensor input, 0.1% accuracy. Optional relay/RS-232/RS-485/printer output. Metallic enclosure, 96x192 mm.",6183,,Temperature Scanners,Multi-Channel Scanners,Swastik,SCN-1908,SCN-1908,50,4.5,false,,Immediate,temperature scanner; 8 channel; digital; swastik; modbus,https://5.imimg.com/data5/SELLER/Default/2026/5/609605732/YG/WJ/NR/2349477/temperature-scanner-8-channel-500x500.png,"Number of Channels: 8 | Type: 4/6/8 Channel Scanner | Display Type: Digital (Dual, Seven Segment Red) | Input Type: Thermocouple (J/K/RTD) | Usage/Application: Oven/Heater Industry | Output Type: Relay Alarm | Material: Metal Body | Color: Black | Size: 96x192 | Facility: Modbus Communication | Accuracy: 0.1% | Resolution: 2 C for thermocouple, 0.1 C for RTD | Supply: 230 VAC | Enclosure: Metallic"
Digital Temperature Scanner SCN-968,"Digital temperature scanner with 2 relay high/low alarm output. Optional RS-485 communication. Black metallic body, 96x96 mm size. For oven/heater industry applications.",6319,,Temperature Scanners,Multi-Channel Scanners,Swastik,SCN-968,SCN-968,50,4.5,false,,Immediate,temperature scanner; digital; swastik; rs485; alarm,https://5.imimg.com/data5/SELLER/Default/2024/1/373426773/WR/OF/RR/2349477/digital-temperature-scanner-500x500.jpg,Display Type: Digital | Condition: New | Color: Black | Size: 96x96 | Output: 2 Relay (High/Low Alarm) | Optional: RS-485 Communication
Digital Process Indicator PIC-481,"4-digit single display process indicator with 4-20mA/0-20mA/0-10VDC input. Selectable resolution, -1999 to 9999 range. 24V DC transmitter supply. Available in all standard sizes.",1097,,Process Indicators,Digital Indicators,Swastik,PIC-481,PIC-481,50,4.5,false,,Immediate,process indicator; digital; 4-20ma; swastik; panel meter,https://5.imimg.com/data5/SELLER/Default/2023/4/298046762/ZT/IM/ZO/2349477/digital-process-indicator-500x500.JPG,"Display Type: Digital 4 Digit Single Display | Range: -1999 to 9999 selectable | Sensor: 0-10V DC, 4-20mA, 0-20mA | Supply: 24V DC Transmitter Supply | Accuracy: 0.01% | Resolution: Adjustable | Size: 48x48 / 48x96 / 72x72 / 96x96 mm | Enclosure: Plastic"
